Country,Origin,Total Deaths,Total Damages ('000 US$)
Djibouti,NA,NA,2500
Ecuador,NA,NA,NA
Ethiopia,NA,64,NA
Ethiopia,NA,7,NA
France,Heavy rains,26,NA
United Kingdom of Great Britain and Northern Ireland (the),NA,6,1000
Ghana,NA,NA,NA
Greece,NA,27,28000
Hong Kong,NA,NA,NA
Hong Kong,NA,1,NA
Hong Kong,NA,NA,NA
Hong Kong,NA,NA,NA
Indonesia,NA,2,NA
Indonesia,NA,1,NA
Indonesia,NA,37,NA
Indonesia,NA,80,NA
Indonesia,NA,10,NA
Indonesia,NA,NA,NA
Indonesia,NA,12,NA
India,NA,500,NA
India,NA,14204,498535
India,NA,2,NA
India,NA,NA,NA
Afghanistan,NA,120,52000
Argentina,NA,NA,NA
Australia,NA,5,1000000
Burundi,NA,54,NA
Benin,NA,2,NA
Bangladesh,NA,17,NA
Bangladesh,NA,129,NA
Bangladesh,NA,1000,NA
Bangladesh,NA,30,NA
Bahrain,NA,111,NA
Bolivia (Plurinational State of),NA,NA,NA
Brazil,NA,26,NA
Chile,NA,4,NA
Cuba,NA,6,NA
Germany Fed Rep,NA,2,330000
Djibouti,NA,NA,NA
Spain,NA,2,25000
Ethiopia,NA,9,NA
Fiji,NA,NA,NA
France,NA,3,NA
Greece,NA,50,250000
Indonesia,NA,82,NA
Indonesia,NA,11,NA
Indonesia,NA,41,NA
Indonesia,NA,21,NA
India,NA,26,NA
India,NA,500,NA
India,NA,100,NA
India,NA,150,NA
India,NA,45,NA
India,NA,48,NA
United States of America (the),NA,6000,30000
Jamaica,NA,30,NA
Jamaica,NA,300,NA
Japan,NA,30,NA
Japan,Earthquake,18,NA
Uganda,NA,200000,NA
Japan,NA,125,NA
Myanmar,NA,600,NA
Martinique,NA,30000,NA
Soviet Union,NA,4562,NA
Jamaica,NA,65,NA
Niger (the),NA,NA,NA
Turkey,NA,3560,NA
United States of America (the),NA,98,NA
Japan,Earthquake,41,NA
Italy,NA,557,NA
Philippines (the),NA,240,NA
United States of America (the),NA,700,524000
Italy,NA,700,NA
Niger (the),NA,NA,NA
Taiwan (Province of China),NA,1258,NA
United States of America (the),NA,164,NA
United States of America (the),NA,134,NA
Jamaica,NA,1200,30000
Italy,NA,75000,116000
Romania,NA,NA,NA
Iran (Islamic Republic of),NA,5000,NA
Jamaica,NA,53,NA
Morocco,NA,100,NA
United States of America (the),Meteorological,72,NA
United States of America (the),NA,350,NA
United States of America (the),NA,41,NA
